min_delta,max_lvn_ratio,min_impulse_size,min_impulse_score,take_profit,trailing_stop,stop_buffer,breakout_threshold,max_hunting_bars,total_trades,wins,losses,breakevens,win_rate,profit_factor,sharpe_ratio,avg_win,avg_loss,total_pnl,max_drawdown,rr_ratio,expectancy
15,0.2,20.0,3,25,6,2,2.0,600,692,145,533,14,20.953757225433524,0.55,-3.51,5.08,-2.51,-601.75,15301.0,2.0239043824701195,-0.8688294797687859
15,0.2,20.0,3,25,8,2,2.0,600,689,128,556,5,18.57764876632801,0.61,-2.77,6.83,-2.58,-562.5,14520.0,2.647286821705426,-0.8131204644412193
15,0.2,20.0,3,30,6,2,2.0,600,693,146,533,14,21.06782106782107,0.58,-3.08,5.31,-2.51,-562.75,14625.0,2.1155378486055776,-0.8117893217893215
15,0.2,20.0,3,30,8,2,2.0,600,691,129,557,5,18.668596237337194,0.62,-2.58,6.97,-2.59,-541.0,14198.0,2.6911196911196913,-0.7865412445730826
15,0.2,20.0,4,25,6,2,2.0,600,39,10,28,1,25.64102564102564,0.72,-1.96,4.12,-2.04,-16.0,568.0,2.019607843137255,-0.4082051282051282
15,0.2,20.0,4,25,8,2,2.0,600,39,7,31,1,17.94871794871795,0.43,-5.52,4.25,-2.25,-40.0,1008.0,1.8888888888888888,-1.0256410256410255
15,0.2,20.0,4,30,6,2,2.0,600,39,10,28,1,25.64102564102564,0.72,-1.96,4.12,-2.04,-16.0,568.0,2.019607843137255,-0.4082051282051282
15,0.2,20.0,4,30,8,2,2.0,600,39,7,31,1,17.94871794871795,0.43,-5.52,4.25,-2.25,-40.0,1008.0,1.8888888888888888,-1.0256410256410255
15,0.3,20.0,3,25,6,2,2.0,600,692,145,533,14,20.953757225433524,0.55,-3.51,5.08,-2.51,-601.75,15301.0,2.0239043824701195,-0.8688294797687859
15,0.3,20.0,3,25,8,2,2.0,600,689,128,556,5,18.57764876632801,0.61,-2.77,6.83,-2.58,-562.5,14520.0,2.647286821705426,-0.8131204644412193
15,0.3,20.0,3,30,6,2,2.0,600,693,146,533,14,21.06782106782107,0.58,-3.08,5.31,-2.51,-562.75,14625.0,2.1155378486055776,-0.8117893217893215
15,0.3,20.0,3,30,8,2,2.0,600,691,129,557,5,18.668596237337194,0.62,-2.58,6.97,-2.59,-541.0,14198.0,2.6911196911196913,-0.7865412445730826
15,0.3,20.0,4,25,6,2,2.0,600,39,10,28,1,25.64102564102564,0.72,-1.96,4.12,-2.04,-16.0,568.0,2.019607843137255,-0.4082051282051282
15,0.3,20.0,4,25,8,2,2.0,600,39,7,31,1,17.94871794871795,0.43,-5.52,4.25,-2.25,-40.0,1008.0,1.8888888888888888,-1.0256410256410255
15,0.3,20.0,4,30,6,2,2.0,600,39,10,28,1,25.64102564102564,0.72,-1.96,4.12,-2.04,-16.0,568.0,2.019607843137255,-0.4082051282051282
15,0.3,20.0,4,30,8,2,2.0,600,39,7,31,1,17.94871794871795,0.43,-5.52,4.25,-2.25,-40.0,1008.0,1.8888888888888888,-1.0256410256410255
25,0.2,20.0,3,25,6,2,2.0,600,349,67,277,5,19.197707736389685,0.48,-4.31,5.29,-2.68,-386.5,9219.0,1.9738805970149254,-1.1115472779369628
25,0.2,20.0,3,25,8,2,2.0,600,348,52,294,2,14.942528735632186,0.51,-3.6,7.82,-2.69,-383.75,9471.0,2.9070631970260226,-1.104080459770115
25,0.2,20.0,3,30,6,2,2.0,600,348,67,276,5,19.25287356321839,0.47,-4.52,5.18,-2.68,-392.25,9330.0,1.932835820895522,-1.128218390804598
25,0.2,20.0,3,30,8,2,2.0,600,347,53,292,2,15.273775216138327,0.49,-3.95,7.31,-2.68,-396.5,9722.0,2.727611940298507,-1.1387031700288186
25,0.2,20.0,4,25,6,2,2.0,600,19,7,11,1,36.84210526315789,1.98,3.94,7.5,-2.41,26.0,244.0,3.1120331950207465,1.367894736842105
25,0.2,20.0,4,25,8,2,2.0,600,19,6,12,1,31.57894736842105,1.44,2.12,6.54,-2.27,12.0,284.0,2.881057268722467,0.631578947368421
25,0.2,20.0,4,30,6,2,2.0,600,19,7,11,1,36.84210526315789,1.98,3.94,7.5,-2.41,26.0,244.0,3.1120331950207465,1.367894736842105
25,0.2,20.0,4,30,8,2,2.0,600,19,6,12,1,31.57894736842105,1.44,2.12,6.54,-2.27,12.0,284.0,2.881057268722467,0.631578947368421
25,0.3,20.0,3,25,6,2,2.0,600,349,67,277,5,19.197707736389685,0.48,-4.31,5.29,-2.68,-386.5,9219.0,1.9738805970149254,-1.1115472779369628
25,0.3,20.0,3,25,8,2,2.0,600,348,52,294,2,14.942528735632186,0.51,-3.6,7.82,-2.69,-383.75,9471.0,2.9070631970260226,-1.104080459770115
25,0.3,20.0,3,30,6,2,2.0,600,348,67,276,5,19.25287356321839,0.47,-4.52,5.18,-2.68,-392.25,9330.0,1.932835820895522,-1.128218390804598
25,0.3,20.0,3,30,8,2,2.0,600,347,53,292,2,15.273775216138327,0.49,-3.95,7.31,-2.68,-396.5,9722.0,2.727611940298507,-1.1387031700288186
25,0.3,20.0,4,25,6,2,2.0,600,19,7,11,1,36.84210526315789,1.98,3.94,7.5,-2.41,26.0,244.0,3.1120331950207465,1.367894736842105
25,0.3,20.0,4,25,8,2,2.0,600,19,6,12,1,31.57894736842105,1.44,2.12,6.54,-2.27,12.0,284.0,2.881057268722467,0.631578947368421
25,0.3,20.0,4,30,6,2,2.0,600,19,7,11,1,36.84210526315789,1.98,3.94,7.5,-2.41,26.0,244.0,3.1120331950207465,1.367894736842105
25,0.3,20.0,4,30,8,2,2.0,600,19,6,12,1,31.57894736842105,1.44,2.12,6.54,-2.27,12.0,284.0,2.881057268722467,0.631578947368421
40,0.2,20.0,3,25,6,2,2.0,600,136,27,108,1,19.852941176470587,0.47,-4.51,5.24,-2.8,-161.0,3764.0,1.8714285714285717,-1.1832352941176467
40,0.2,20.0,3,25,8,2,2.0,600,136,20,116,0,14.705882352941178,0.38,-5.86,6.54,-2.93,-209.0,4724.0,2.2320819112627985,-1.5373529411764704
40,0.2,20.0,3,30,6,2,2.0,600,136,27,108,1,19.852941176470587,0.45,-4.84,5.08,-2.8,-165.25,3849.0,1.8142857142857145,-1.2149999999999996
40,0.2,20.0,3,30,8,2,2.0,600,136,20,116,0,14.705882352941178,0.37,-6.38,6.25,-2.93,-214.75,4839.0,2.1331058020477816,-1.5799999999999998
40,0.2,20.0,4,25,6,2,2.0,600,5,3,2,0,60.0,8.2,13.67,6.83,-1.25,18.0,58.0,5.464,3.598
40,0.2,20.0,4,25,8,2,2.0,600,5,3,2,0,60.0,5.8,11.67,4.83,-1.25,12.0,58.0,3.864,2.398
40,0.2,20.0,4,30,6,2,2.0,600,5,3,2,0,60.0,8.2,13.67,6.83,-1.25,18.0,58.0,5.464,3.598
40,0.2,20.0,4,30,8,2,2.0,600,5,3,2,0,60.0,5.8,11.67,4.83,-1.25,12.0,58.0,3.864,2.398
40,0.3,20.0,3,25,6,2,2.0,600,136,27,108,1,19.852941176470587,0.47,-4.51,5.24,-2.8,-161.0,3764.0,1.8714285714285717,-1.1832352941176467
40,0.3,20.0,3,25,8,2,2.0,600,136,20,116,0,14.705882352941178,0.38,-5.86,6.54,-2.93,-209.0,4724.0,2.2320819112627985,-1.5373529411764704
40,0.3,20.0,3,30,6,2,2.0,600,136,27,108,1,19.852941176470587,0.45,-4.84,5.08,-2.8,-165.25,3849.0,1.8142857142857145,-1.2149999999999996
40,0.3,20.0,3,30,8,2,2.0,600,136,20,116,0,14.705882352941178,0.37,-6.38,6.25,-2.93,-214.75,4839.0,2.1331058020477816,-1.5799999999999998
40,0.3,20.0,4,25,6,2,2.0,600,5,3,2,0,60.0,8.2,13.67,6.83,-1.25,18.0,58.0,5.464,3.598
40,0.3,20.0,4,25,8,2,2.0,600,5,3,2,0,60.0,5.8,11.67,4.83,-1.25,12.0,58.0,3.864,2.398
40,0.3,20.0,4,30,6,2,2.0,600,5,3,2,0,60.0,8.2,13.67,6.83,-1.25,18.0,58.0,5.464,3.598
40,0.3,20.0,4,30,8,2,2.0,600,5,3,2,0,60.0,5.8,11.67,4.83,-1.25,12.0,58.0,3.864,2.398
